,precision,recall,f1-score,support
non_pun,0.966131907308378,0.9508771929824561,0.9584438549955792,570.0
pun,0.9516407599309153,0.9666666666666667,0.959094865100087,570.0
accuracy,0.9587719298245614,0.9587719298245614,0.9587719298245614,0.9587719298245614
macro avg,0.9588863336196467,0.9587719298245614,0.9587693600478331,1140.0
weighted avg,0.9588863336196466,0.9587719298245614,0.9587693600478332,1140.0
