loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6441718886992736,14.469286918640137,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5771868228912354,0.6912280701754386,0.6915676915676916,0.6912280701754385,0.6910911576691423,0.6915676915676915,0.6912280701754386,0.6910911576691424,6.181,92.218,11.649,,,,,
0.4970664901580505,16.688854217529297,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.7166016697883606,0.6754385964912281,0.6925675675675675,0.6754385964912281,0.6680569764696624,0.6925675675675675,0.6754385964912281,0.6680569764696624,6.1701,92.381,11.669,,,,,
0.3604761708475545,24.53581428527832,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,0.9681955575942993,0.6631578947368421,0.6641359408478964,0.6631578947368422,0.662655356086013,0.6641359408478964,0.6631578947368421,0.662655356086013,6.1159,93.199,11.773,,,,,
,,,3.0,1497,,,,,,,,,,,,716.2158,33.426,4.18,5577609209518080.0,0.5005715165682928
