,precision,recall,f1-score,support
non_pun,0.6587183308494784,0.775438596491228,0.7123287671232876,570.0
pun,0.7270788912579957,0.5982456140350877,0.6564003849855631,570.0
accuracy,0.6868421052631579,0.6868421052631579,0.6868421052631579,0.6868421052631579
macro avg,0.6928986110537371,0.6868421052631579,0.6843645760544254,1140.0
weighted avg,0.6928986110537371,0.6868421052631579,0.6843645760544254,1140.0
