loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6416957450056363,18.315658569335938,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5822850465774536,0.6842105263157895,0.6967688483844242,0.6842105263157894,0.6790901925458844,0.6967688483844242,0.6842105263157895,0.6790901925458844,6.1732,92.335,11.663,,,,,
0.48079221186513654,11.012598991394043,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.7185346484184265,0.6684210526315789,0.6754385964912281,0.6684210526315789,0.6650717703349283,0.6754385964912281,0.6684210526315789,0.6650717703349283,6.145,92.758,11.717,,,,,
0.3470722267288483,31.646942138671875,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,1.3184765577316284,0.6473684210526316,0.6554545454545455,0.6473684210526316,0.6427223824744679,0.6554545454545455,0.6473684210526316,0.6427223824744679,6.1859,92.146,11.639,,,,,
,,,3.0,1497,,,,,,,,,,,,492.3699,48.622,6.081,5577609209518080.0,0.48985339453320703
