,precision,recall,f1-score,support
non_pun,0.47641509433962265,0.7087719298245614,0.5698166431593794,570.0
pun,0.4315068493150685,0.22105263157894736,0.2923433874709977,570.0
accuracy,0.4649122807017544,0.4649122807017544,0.4649122807017544,0.4649122807017544
macro avg,0.45396097182734557,0.4649122807017544,0.4310800153151886,1140.0
weighted avg,0.4539609718273456,0.4649122807017544,0.4310800153151886,1140.0
