,precision,recall,f1-score,support
non_pun,0.7392,0.8105263157894737,0.7732217573221757,570.0
pun,0.7902912621359224,0.7140350877192982,0.7502304147465437,570.0
accuracy,0.762280701754386,0.762280701754386,0.762280701754386,0.762280701754386
macro avg,0.7647456310679612,0.762280701754386,0.7617260860343598,1140.0
weighted avg,0.7647456310679612,0.762280701754386,0.7617260860343598,1140.0
