loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.64334234876002,13.251205444335938,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5423749089241028,0.7315789473684211,0.7498140671483213,0.7315789473684211,0.7265895645685658,0.7498140671483212,0.7315789473684211,0.7265895645685658,6.0988,93.461,11.806,,,,,
0.5139518539031187,4.981060981750488,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.49065807461738586,0.7807017543859649,0.7878787878787878,0.7807017543859649,0.7793263646922184,0.787878787878788,0.7807017543859649,0.7793263646922184,6.0877,93.632,11.827,,,,,
0.3983457026357402,1.5598981380462646,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,0.6076496839523315,0.7736842105263158,0.7929008116369769,0.7736842105263158,0.7699102859771381,0.792900811636977,0.7736842105263158,0.7699102859771381,6.1038,93.384,11.796,,,,,
0.3217419641529152,14.962846755981445,7.416481069042318e-06,4.0,1996,,,,,,,,,,,,,,,,
,,,4.0,1996,0.641743540763855,0.7684210526315789,0.7727733363359982,0.7684210526315789,0.7674936032929136,0.7727733363359982,0.7684210526315789,0.7674936032929136,6.0987,93.462,11.806,,,,,
,,,4.0,1996,,,,,,,,,,,,668.9665,35.787,4.476,7436812279357440.0,0.4693454673629486
