,precision,recall,f1-score,support
non_pun,0.7927461139896373,0.8052631578947368,0.7989556135770235,570.0
pun,0.8021390374331551,0.7894736842105263,0.7957559681697612,570.0
accuracy,0.7973684210526316,0.7973684210526316,0.7973684210526316,0.7973684210526316
macro avg,0.7974425757113962,0.7973684210526315,0.7973557908733924,1140.0
weighted avg,0.7974425757113962,0.7973684210526316,0.7973557908733924,1140.0
