loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6334879842693198,21.808326721191406,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5457077026367188,0.7456140350877193,0.7478384019081694,0.7456140350877193,0.7450419685906513,0.7478384019081693,0.7456140350877193,0.7450419685906513,6.2087,91.807,11.597,,,,,
0.5106726514552543,10.19687557220459,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.5166385769844055,0.7421052631578947,0.7633799421407907,0.7421052631578947,0.7367900257272907,0.7633799421407907,0.7421052631578947,0.7367900257272906,6.1486,92.704,11.71,,,,,
0.38336319244935185,25.29601287841797,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,0.6175327301025391,0.7631578947368421,0.7741228070175439,0.763157894736842,0.7607655502392344,0.7741228070175439,0.7631578947368421,0.7607655502392344,6.1813,92.213,11.648,,,,,
0.3070962481603833,2.8404219150543213,7.416481069042318e-06,4.0,1996,,,,,,,,,,,,,,,,
,,,4.0,1996,0.7968640923500061,0.7701754385964912,0.7770833333333333,0.7701754385964912,0.7687340301974448,0.7770833333333333,0.7701754385964912,0.7687340301974449,6.1729,92.339,11.664,,,,,
0.20626500804343062,86.48518371582031,3.711952487008166e-06,5.0,2495,,,,,,,,,,,,,,,,
,,,5.0,2495,1.057997703552246,0.7631578947368421,0.7681797651309847,0.7631578947368421,0.762043917508558,0.7681797651309847,0.7631578947368421,0.7620439175085582,6.1593,92.542,11.69,,,,,
0.14617730333714304,0.9658359289169312,7.423904974016333e-09,6.0,2994,,,,,,,,,,,,,,,,
,,,6.0,2994,1.214577317237854,0.7736842105263158,0.7761627906976745,0.7736842105263158,0.7731752686082345,0.7761627906976744,0.7736842105263158,0.7731752686082345,6.1844,92.168,11.642,,,,,
,,,6.0,2994,,,,,,,,,,,,985.108,24.302,3.039,1.115521841903616e+16,0.36451039795248047
