loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.639538109421969,13.954379081726074,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.6161065697669983,0.6929824561403509,0.7159804894179894,0.6929824561403508,0.6845859775937468,0.7159804894179894,0.6929824561403509,0.6845859775937467,6.2468,91.247,11.526,,,,,
0.502952101713192,28.936172485351562,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.7166375517845154,0.6842105263157895,0.6910699919549477,0.6842105263157894,0.681350626118068,0.6910699919549477,0.6842105263157895,0.681350626118068,6.1725,92.344,11.665,,,,,
0.36458830747432364,9.72939682006836,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,1.0889902114868164,0.6578947368421053,0.6582239439399921,0.6578947368421053,0.6577166947411859,0.6582239439399921,0.6578947368421053,0.6577166947411858,6.1927,92.044,11.627,,,,,
,,,3.0,1497,,,,,,,,,,,,492.9517,48.565,6.074,5577609209518080.0,0.5023595062031615
