,precision,recall,f1-score,support
non_pun,0.6446280991735537,0.6842105263157895,0.6638297872340425,570.0
pun,0.6635514018691588,0.6228070175438597,0.6425339366515838,570.0
accuracy,0.6535087719298246,0.6535087719298246,0.6535087719298246,0.6535087719298246
macro avg,0.6540897505213563,0.6535087719298246,0.6531818619428131,1140.0
weighted avg,0.6540897505213563,0.6535087719298246,0.6531818619428131,1140.0
