,precision,recall,f1-score,support
non_pun,0.9610619469026549,0.9526315789473684,0.9568281938325991,570.0
pun,0.9530434782608695,0.9614035087719298,0.9572052401746725,570.0
accuracy,0.9570175438596491,0.9570175438596491,0.9570175438596491,0.9570175438596491
macro avg,0.9570527125817623,0.9570175438596491,0.9570167170036358,1140.0
weighted avg,0.9570527125817622,0.9570175438596491,0.9570167170036357,1140.0
