loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6363968782291145,12.90861701965332,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5767788887023926,0.7333333333333333,0.7457246949915077,0.7333333333333334,0.7299285545068017,0.7457246949915077,0.7333333333333333,0.7299285545068017,6.1049,93.368,11.794,,,,,
0.48922072049372184,16.90863800048828,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.6658775806427002,0.6684210526315789,0.6894736842105262,0.668421052631579,0.6589473684210526,0.6894736842105263,0.6684210526315789,0.6589473684210527,6.106,93.35,11.792,,,,,
0.3618556999252411,40.8126220703125,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,1.0117045640945435,0.6877192982456141,0.688052688052688,0.687719298245614,0.6875808299153826,0.688052688052688,0.6877192982456141,0.6875808299153826,6.1451,92.756,11.717,,,,,
,,,3.0,1497,,,,,,,,,,,,491.353,48.723,6.093,5577609209518080.0,0.49582443288269246
