loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6364872689715368,15.787711143493652,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5930705666542053,0.7210526315789474,0.7210771276595744,0.7210526315789474,0.7210449042909776,0.7210771276595744,0.7210526315789474,0.7210449042909776,6.1842,92.17,11.643,,,,,
0.4765910299603113,18.979209899902344,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.6631690859794617,0.6614035087719298,0.6667429792429792,0.6614035087719299,0.6586709856375601,0.6667429792429792,0.6614035087719298,0.6586709856375602,6.1237,93.081,11.758,,,,,
0.35346134774431676,34.092159271240234,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,1.0868852138519287,0.6719298245614035,0.6720336059919187,0.6719298245614036,0.6718803389861814,0.6720336059919189,0.6719298245614035,0.6718803389861813,6.148,92.714,11.711,,,,,
,,,3.0,1497,,,,,,,,,,,,495.175,48.347,6.046,5577609209518080.0,0.4888465488920549
