loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.638221756012024,19.504812240600586,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.6254797577857971,0.7087719298245614,0.7238643414434514,0.7087719298245614,0.7037793027449408,0.7238643414434514,0.7087719298245614,0.7037793027449408,6.1319,92.957,11.742,,,,,
0.5032309797818293,6.921175479888916,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.6416630148887634,0.6877192982456141,0.6911169326030007,0.6877192982456141,0.6863251879699248,0.6911169326030007,0.6877192982456141,0.6863251879699248,6.1162,93.196,11.772,,,,,
0.3648826583831726,8.891446113586426,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,1.044806718826294,0.6842105263157895,0.6905541192801925,0.6842105263157894,0.6815602924927684,0.6905541192801926,0.6842105263157895,0.6815602924927684,6.1169,93.185,11.771,,,,,
,,,3.0,1497,,,,,,,,,,,,494.3516,48.427,6.056,5577609209518080.0,0.5021117980590086
