,precision,recall,f1-score,support
non_pun,0.7886977886977887,0.5631578947368421,0.6571136131013307,570.0
pun,0.660300136425648,0.8491228070175438,0.7429009976976209,570.0
accuracy,0.706140350877193,0.706140350877193,0.706140350877193,0.706140350877193
macro avg,0.7244989625617184,0.706140350877193,0.7000073053994758,1140.0
weighted avg,0.7244989625617183,0.706140350877193,0.7000073053994756,1140.0
