condition,split_seed,model_seed,accuracy,precision_non_pun,recall_non_pun,f1_non_pun,precision_pun,recall_pun,f1_pun,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,tp,tn,fp,fn,fn_instances,annotated_fn_instances,missing_fn_annotations,none,homophone_only,homograph_only,both,total_punning_signs_in_fn
max_cross_split,13,40,0.962280701754386,0.9614711033274956,0.9631578947368421,0.9623137598597721,0.9630931458699473,0.9614035087719298,0.9622475856014048,0.9622821245987214,0.962280701754386,0.9622806727305884,0.9622821245987213,0.962280701754386,0.9622806727305885,548,549,21,22,22,22,0,17,4,0,3,24
max_cross_split,21,40,0.9657894736842105,0.9783783783783784,0.9526315789473684,0.9653333333333334,0.9538461538461539,0.9789473684210527,0.9662337662337662,0.9661122661122661,0.9657894736842105,0.9657835497835499,0.9661122661122662,0.9657894736842105,0.9657835497835497,558,543,27,12,12,12,0,6,3,0,5,14
max_cross_split,40,40,0.9570175438596491,0.9610619469026549,0.9526315789473684,0.9568281938325991,0.9530434782608695,0.9614035087719298,0.9572052401746725,0.9570527125817623,0.9570175438596491,0.9570167170036358,0.9570527125817622,0.9570175438596491,0.9570167170036357,548,543,27,22,22,22,0,22,2,0,2,26
max_cross_split,42,40,0.9596491228070175,0.9612676056338029,0.9578947368421052,0.9595782073813708,0.958041958041958,0.9614035087719298,0.9597197898423818,0.9596547818378804,0.9596491228070175,0.9596489986118764,0.9596547818378803,0.9596491228070175,0.9596489986118765,548,546,24,22,22,22,0,12,7,0,4,23
max_cross_split,73,40,0.9587719298245614,0.966131907308378,0.9508771929824561,0.9584438549955792,0.9516407599309153,0.9666666666666667,0.959094865100087,0.9588863336196467,0.9587719298245614,0.9587693600478331,0.9588863336196466,0.9587719298245614,0.9587693600478332,551,542,28,19,19,19,0,8,3,0,8,19
max_cross_split,101,40,0.9570175438596491,0.951473136915078,0.9631578947368421,0.9572798605056669,0.9626998223801065,0.9508771929824561,0.9567519858781994,0.9570864796475922,0.9570175438596491,0.9570159231919332,0.9570864796475923,0.9570175438596491,0.9570159231919332,542,549,21,28,28,28,0,24,6,0,3,33
