model,metric,condition_a,condition_b,difference_direction,runs,condition_a_mean,condition_a_std,condition_b_mean,condition_b_std,mean_difference,std_difference,median_difference,all_differences_positive,all_differences_negative,permutation_statistic,permutation_p_value,permutation_count,wilcoxon_statistic,wilcoxon_p_value,cohens_dz,rank_biserial,bootstrap_confidence_level,bootstrap_resamples,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value_holm,wilcoxon_p_value_holm
bertimbau,accuracy,pair_controlled,max_cross_split,condition_a_minus_condition_b,6,0.7559941520467836,0.00955160719245522,0.69093567251462,0.020184335693983254,0.06505847953216376,0.020879527119014345,0.06140350877192985,True,False,0.06505847953216376,0.03125,64,0.0,0.03125,3.1158981312808085,1.0,0.95,50000,0.051900584795321614,0.08216374269005848,0.125,0.125
bertimbau,f1_macro,pair_controlled,max_cross_split,condition_a_minus_condition_b,6,0.75531468585671,0.009879783770775943,0.6891214560854685,0.019957562604060085,0.06619322977124148,0.019601027195193754,0.06230340634668302,True,False,0.06619322977124148,0.03125,64,0.0,0.03125,3.377028617534509,1.0,0.95,50000,0.05374921061006638,0.08208922947902979,0.125,0.125
ensemble,accuracy,pair_controlled,max_cross_split,condition_a_minus_condition_b,6,0.47061403508771926,0.0090949304181262,0.9600877192982457,0.003408659513635974,-0.4894736842105263,0.010871532199880423,-0.4929824561403509,False,True,-0.4894736842105263,0.03125,64,0.0,0.03125,-45.023431399661405,-1.0,0.95,50000,-0.49576023391812857,-0.48040935672514634,0.125,0.125
ensemble,f1_macro,pair_controlled,max_cross_split,condition_a_minus_condition_b,6,0.4442411327441293,0.012071426538965351,0.9600858702282361,0.003407316907052771,-0.5158447374841069,0.011340671299140417,-0.5175456396100382,False,True,-0.5158447374841069,0.03125,64,0.0,0.03125,-45.486261251854295,-1.0,0.95,50000,-0.5234623449352863,-0.5075922798806123,0.125,0.125
