loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.649154632507202,18.639081954956055,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.6454043984413147,0.6666666666666666,0.6934232522253497,0.6666666666666666,0.654726076310957,0.6934232522253497,0.6666666666666666,0.654726076310957,6.0897,93.601,11.823,,,,,
0.5365132119708166,7.195995807647705,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.5652484893798828,0.7087719298245614,0.714866765499677,0.7087719298245614,0.7066919614626344,0.7148667654996769,0.7087719298245614,0.7066919614626344,6.0882,93.624,11.826,,,,,
0.43025323718726516,14.80191707611084,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,0.6752332448959351,0.724561403508772,0.7308393236812798,0.724561403508772,0.722675872583989,0.7308393236812798,0.724561403508772,0.722675872583989,6.1018,93.415,11.8,,,,,
0.3551523824015218,29.291582107543945,7.416481069042318e-06,4.0,1996,,,,,,,,,,,,,,,,
,,,4.0,1996,0.7499539256095886,0.7456140350877193,0.7475186104218363,0.7456140350877193,0.7451237375684219,0.7475186104218363,0.7456140350877193,0.7451237375684219,6.0985,93.466,11.806,,,,,
0.28614840765515404,0.9662357568740845,3.711952487008166e-06,5.0,2495,,,,,,,,,,,,,,,,
,,,5.0,2495,0.9872896671295166,0.7280701754385965,0.7328899728452177,0.7280701754385965,0.7266559205987272,0.7328899728452177,0.7280701754385965,0.7266559205987272,6.104,93.382,11.796,,,,,
0.22333393593828282,0.2560131251811981,7.423904974016333e-09,6.0,2994,,,,,,,,,,,,,,,,
,,,6.0,2994,1.29964017868042,0.7298245614035088,0.733984281971898,0.7298245614035088,0.7286184210526316,0.733984281971898,0.7298245614035088,0.7286184210526315,6.0947,93.523,11.813,,,,,
,,,6.0,2994,,,,,,,,,,,,981.6578,24.387,3.05,1.115521841903616e+16,0.4134259679433737
