,precision,recall,f1-score,support
non_pun,0.49243306169965073,0.7421052631578947,0.5920223932820154,570.0
pun,0.47686832740213525,0.23508771929824562,0.31492361927144535,570.0
accuracy,0.4885964912280702,0.4885964912280702,0.4885964912280702,0.4885964912280702
macro avg,0.484650694550893,0.48859649122807014,0.4534730062767304,1140.0
weighted avg,0.48465069455089294,0.4885964912280702,0.45347300627673043,1140.0
