,precision,recall,f1-score,support
non_pun,0.7192192192192193,0.8403508771929824,0.7750809061488673,570.0
pun,0.8080168776371308,0.6719298245614035,0.7337164750957854,570.0
accuracy,0.756140350877193,0.756140350877193,0.756140350877193,0.756140350877193
macro avg,0.763618048428175,0.7561403508771929,0.7543986906223263,1140.0
weighted avg,0.763618048428175,0.756140350877193,0.7543986906223263,1140.0
