loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6391125757374123,13.8153076171875,1.8530066815144767e-05,1.0,499,,,,,,,,,,,,,,,,
,,,1.0,499,0.5624932646751404,0.7403508771929824,0.7656809243205727,0.7403508771929825,0.7340110229666158,0.7656809243205727,0.7403508771929824,0.7340110229666158,6.1238,93.08,11.757,,,,,
0.5218573744168024,10.962830543518066,1.4825538233110617e-05,2.0,998,,,,,,,,,,,,,,,,
,,,2.0,998,0.5048593282699585,0.7631578947368421,0.7635505030578024,0.763157894736842,0.7630696565972553,0.7635505030578024,0.7631578947368421,0.7630696565972553,6.1681,92.411,11.673,,,,,
0.39152465697997557,9.528462409973145,1.1121009651076466e-05,3.0,1497,,,,,,,,,,,,,,,,
,,,3.0,1497,0.5333949327468872,0.7736842105263158,0.7794679674142613,0.7736842105263158,0.7725071855305536,0.7794679674142614,0.7736842105263158,0.7725071855305536,6.1482,92.71,11.711,,,,,
0.3076152610396574,1.6179969310760498,7.416481069042318e-06,4.0,1996,,,,,,,,,,,,,,,,
,,,4.0,1996,0.8884196281433105,0.7421052631578947,0.7682663974680781,0.7421052631578948,0.735660722003666,0.7682663974680782,0.7421052631578947,0.7356607220036658,6.1639,92.474,11.681,,,,,
0.23809840445050257,0.07776935398578644,3.711952487008166e-06,5.0,2495,,,,,,,,,,,,,,,,
,,,5.0,2495,1.090312123298645,0.7719298245614035,0.772144256477865,0.7719298245614035,0.7718848896058319,0.7721442564778651,0.7719298245614035,0.7718848896058319,6.2034,91.886,11.607,,,,,
,,,5.0,2495,,,,,,,,,,,,821.5914,29.139,3.644,9296015349196800.0,0.41964165452487007
